observation_date,CPMNACSCAB1GQCH
1995-01-01,103428.9
1995-04-01,104030.8
1995-07-01,105059.8
1995-10-01,105003.0
1996-01-01,105130.0
1996-04-01,105546.7
1996-07-01,104742.0
1996-10-01,105122.5
1997-01-01,106175.2
1997-04-01,106225.9
1997-07-01,107419.9
1997-10-01,108061.0
1998-01-01,109209.0
1998-04-01,110452.0
1998-07-01,110303.8
1998-10-01,109673.0
1999-01-01,109896.6
1999-04-01,110483.4
1999-07-01,111924.9
1999-10-01,114707.9
2000-01-01,115870.4
2000-04-01,116756.0
2000-07-01,118640.4
2000-10-01,120435.0
2001-01-01,120760.4
2001-04-01,121094.4
2001-07-01,121356.2
2001-10-01,120763.9
2002-01-01,120565.8
2002-04-01,120447.2
2002-07-01,120791.3
2002-10-01,120707.9
2003-01-01,120716.0
2003-04-01,121022.6
2003-07-01,122145.3
2003-10-01,123781.8
2004-01-01,124329.0
2004-04-01,125711.0
2004-07-01,125151.9
2004-10-01,126510.2
2005-01-01,127561.2
2005-04-01,129069.5
2005-07-01,131060.5
2005-10-01,133123.2
2006-01-01,135626.9
2006-04-01,137470.4
2006-07-01,139284.9
2006-10-01,141688.2
2007-01-01,143916.1
2007-04-01,146867.3
2007-07-01,148577.4
2007-10-01,150109.2
2008-01-01,152454.3
2008-04-01,154217.6
2008-07-01,155338.0
2008-10-01,152034.7
2009-01-01,149323.2
2009-04-01,149460.7
2009-07-01,151420.4
2009-10-01,152488.4
2010-01-01,154251.0
2010-04-01,155669.8
2010-07-01,156311.0
2010-10-01,157778.9
2011-01-01,158467.8
2011-04-01,159440.0
2011-07-01,158836.4
2011-10-01,158973.0
2012-01-01,160110.4
2012-04-01,160570.9
2012-07-01,161282.9
2012-10-01,161806.2
2013-01-01,162257.3
2013-04-01,163624.7
2013-07-01,164379.0
2013-10-01,164826.2
2014-01-01,165348.5
2014-04-01,166279.0
2014-07-01,166826.7
2014-10-01,167252.5
2015-01-01,166460.9
2015-04-01,166482.1
2015-07-01,167129.7
2015-10-01,167632.6
2016-01-01,168294.7
2016-04-01,169464.1
2016-07-01,170283.7
2016-10-01,169682.8
2017-01-01,169622.8
2017-04-01,169805.3
2017-07-01,171833.9
2017-10-01,173634.0
2018-01-01,175165.8
2018-04-01,178232.1
2018-07-01,177941.8
2018-10-01,178521.2
2019-01-01,178421.0
2019-04-01,179104.9
2019-07-01,179451.0
2019-10-01,180348.9
2020-01-01,177032.8
2020-04-01,164706.4
2020-07-01,176651.9
2020-10-01,177652.1
2021-01-01,179027.2
2021-04-01,184986.5
2021-07-01,189528.9
2021-10-01,190967.1
2022-01-01,193886.1
2022-04-01,198155.4
2022-07-01,199165.9
2022-10-01,199892.2
2023-01-01,200919.9
2023-04-01,200278.2
2023-07-01,201028.8
2023-10-01,201802.2
2024-01-01,204582.3
2024-04-01,205844.5
2024-07-01,206963.5
2024-10-01,207352.3
